course_name,year,nr_students
Physico-chimie et propriétés des polymères,2006-2007,3
Radiation detection,2018-2019,3
Astrophysics III : stellar and galactic dynamics,2010-2011,3
Advanced analysis I,2007-2008,3
"Physics of atoms, nuclei and elementary particles",2015-2016,3
Network analytics,2017-2018,3
Atoms and radiation,2019-2020,3
Water quality modeling,2015-2016,3
Neurosciences II : cellular neuroscience and networks,2009-2010,3
Water quality modeling,2014-2015,3
Ateliers et théorie du projet VIII (Gazeau),2004-2005,3
Advanced analysis I,2008-2009,3
"Physics of atoms, nuclei and elementary particles",2013-2014,3
Quantum Information Theory and Computation,2013-2014,3
Advanced microwaves for wireless communications,2018-2019,3
"Physics of atoms, nuclei and elementary particles",2009-2010,3
Quantum Field Theory Methods in Gravity and Cosmology ,2016-2017,3
Non-destructive evaluation methods,2017-2018,3
Nonlinear signal modeling and prediction,2013-2014,3
Astrophysics III : stellar and galactic dynamics,2013-2014,3
Quantum Information Theory and Computation,2011-2012,3
Equations aux dérivées partielles,2006-2007,3
Machine Learning for Engineers,2015-2016,3
Corporate venturing in technology sectors,2007-2008,3
Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2018-2019,3
Cours UNIL - Faculté des hautes études commerciales HEC II (printemps),2017-2018,3
Cours UNIL - Faculté des hautes études commerciales HEC II (automne),2018-2019,3
Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2018-2019,3
Cours UNIL - Faculté des hautes études commerciales HEC I (printemps),2017-2018,3
Cours UNIL - Faculté des hautes études commerciales HEC I (automne),2016-2017,3
Integrated optics,2015-2016,3
Special topics in reactor physics,2017-2018,3
Integrated circuits technology,2004-2005,3
Introduction au traitement des signaux biomédicaux,2009-2010,3
Coordination chemistry and reactivity of f elements,2015-2016,3
Contrôle stochastique,2013-2014,3
Spacecraft design and system engineering,2006-2007,3
Introduction aux techniques de construction,2009-2010,3
Introduction aux équations aux dérivées partielles,2017-2018,3
Connaissance pour le développement,2006-2007,3
Stable homotopy theory,2011-2012,3
Création d'entreprise et innovation,2004-2005,3
Introduction to aeroelasticity,2007-2008,3
Statistical theories and electronic of solids,2009-2010,3
Dielectric and optical properties of materials,2007-2008,3
Dielectric and optical properties of materials,2005-2006,3
Information: strategy & economics,2011-2012,3
Statistical thermodynamics,2015-2016,3
Statistical theory,2006-2007,3
Statistical theories and electronic of solids,2013-2014,3
Statistical theories and electronic of solids,2011-2012,3
Statistical population genetics,2015-2016,3
Statistical Sequence Processing,2010-2011,3
Statistical physics of biomacromolecules,2013-2014,3
Statistical physics of biomacromolecules,2009-2010,3
Statistical physics IV,2014-2015,3
Statistical physics III,2014-2015,3
Data science in practice,2017-2018,3
Data science for business,2017-2018,3
Statistical Sequence Processing,2012-2013,3
Introduction to Frustrated Magnetism,2012-2013,3
Concepts in ecological engineering,2017-2018,3
Laser microprocessing,2015-2016,3
Théorie des jeux,2004-2005,3
Lab in microwaves,2015-2016,3
Combinatorial statistics,2018-2019,3
Lab methods : flow cytometry,2014-2015,3
Théorie de l'espace II,2006-2007,3
Combinatorial optimization,2011-2012,3
Combinatorial optimization,2010-2011,3
Laboratory in molecular neuroscience,2010-2011,3
Laboratory in single-cell electrophysiology,2013-2014,3
Lab in acoustics,2019-2020,3
Laboratory in single-cell electrophysiology,2014-2015,3
Cold atoms and quantum simulation,2017-2018,3
Laboratory information management systems (LIMS),2014-2015,3
Théorie du calcul stochastique,2017-2018,3
Landmark papers in Stem Cell  research,2006-2007,3
Théorie et critique du projet IX (Jaccaud),2006-2007,3
Large-Scale Distributed Systems,2012-2013,3
Complex circuits,2004-2005,3
Computational Mechanics by Isogeometric Analysis (2016),2014-2015,3
Introduction to algebraic geometry,2009-2010,3
Computer simulation of physical systems II,2010-2011,3
Solid state physics IV,2018-2019,3
Solid state physics IV,2009-2010,3
Introduction to combinatorics,2010-2011,3
Introduction to contemporary Asian civilizations,2009-2010,3
Conception de mécanismes spatiaux : introduction,2016-2017,3
Computer simulation of physical systems II,2013-2014,3
Computer simulation of physical systems II,2012-2013,3
Computer simulation of physical systems I,2014-2015,3
Computational Social Media,2018-2019,3
Computational quantum dynamics,2008-2009,3
Introduction to lab methods,2009-2010,3
Introduction to magnetic materials in modern technologies,2017-2018,3
Introduction to nanomaterials,2010-2011,3
Computational mechanics by reduced basis methods (2013),2010-2011,3
Introduction to riemannian geometry,2018-2019,3
Introduction à la physique des astroparticules,2016-2017,3
Information Systems,2011-2012,3
Differential geometry of framed curves,2016-2017,3
Statistique multivariée,2015-2016,3
Supraconductivité II,2007-2008,3
Electronique III,2007-2008,3
Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,2017-2018,3
Séminaire en physiologie et instrumentation,2011-2012,3
Fundamentals of superresolution optical microscopy and Scanning Probe Microscopy,2019-2020,3
Supramolecular chemistry,2014-2015,3
Electronic spectroscopy,2012-2013,3
Electronic spectroscopy,2007-2008,3
Electrodynamique et Optique quantique,2012-2013,3
Fundamentals of biophotonics,2015-2016,3
TP de bioprocédés environnementaux,2010-2011,3
Summer School Shanghai/Bangalore ,2009-2010,3
Student seminar: security protocols and applications,2019-2020,3
Student seminar: security protocols and applications,2013-2014,3
Student seminar: security protocols and applications,2012-2013,3
Student seminar: security protocols and applications,2011-2012,3
Student seminar: security protocols and applications,2010-2011,3
Fundamentals of radiation damage and effects,2007-2008,3
Elliptic partial differential equations,2011-2012,3
Technologie et hygromécanique du bois,2004-2005,3
Exposé et expression orale,2004-2005,3
"Environnement naturel, architectural et construit: questions d'histoire",2004-2005,3
Environmental policy,2017-2018,3
Equations aux dérivées partielles non linéaires de l'environnement naturel,2009-2010,3
Environment chemical and biological technology,2013-2014,3
Systèmes mécatroniques II,2005-2006,3
Systèmes hybrides II,2007-2008,3
Experimental molecular sciences,2008-2009,3
F elements,2006-2007,3
Systemic & strategic problem solving,2019-2020,3
Financial mathematics,2010-2011,3
Fourier analysis and boundary value problems,2012-2013,3
Fourier analysis and boundary value problems,2015-2016,3
Fourier analysis and boundary value problems,2016-2017,3
Fourier analysis and boundary value problems,2019-2020,3
Sécurité des procédés chimiques,2006-2007,3
Sécurité des procédés chimiques,2008-2009,3
Gestion et stratégie d'entreprise,2004-2005,3
Economie des transports,2004-2005,3
"Global perspectives, local realities I",2019-2020,3
Immunology (advanced topics),2010-2011,3
Image communication,2005-2006,3
Image communication,2013-2014,3
Imagerie du territoire,2008-2009,3
Stochastic models in communications and computer science,2007-2008,3
Dispositifs électroniques à semi-conducteurs,2006-2007,3
Imagerie du territoire,2009-2010,3
Imaging optics,2015-2016,3
Digital musicology,2019-2020,3
Grands courants religieux en Occident,2005-2006,3
Immunology (advanced topics),2015-2016,3
Digital musicology,2017-2018,3
Immunology and bioengineering applications (2014),2007-2008,3
Diffraction methods in structural biology,2013-2014,3
Diffraction methods in structural biology,2012-2013,3
Indoor air quality and ventilation,2018-2019,3
Stem cell biology and technology,2008-2009,3
Technologie chimique et biologique de l'environnement,2008-2009,3
Technologie chimique et biologique de l'environnement,2007-2008,3
Drug discovery from bench to clinics,2007-2008,3
Techniques ferroviaires,2008-2009,3
Groupes et symétries discrets en physique,2006-2007,3
Génie chimique TP,2015-2016,3
Génie des bioprocédés environnementaux,2016-2017,3
Génie électrochimique,2009-2010,3
Génie électrochimique,2010-2011,3
Géodésie,2008-2009,3
Early detection: from weak signal analysis to algorithmic creativity,2011-2012,3
Haptic human robot interfaces,2019-2020,3
EDA TP,2011-2012,3
EDA TP,2010-2011,3
E-Business,2007-2008,3
Harmonic analysis,2017-2018,3
Harmonic analysis,2019-2020,3
Homotopical algebra,2017-2018,3
Hydraulique environnementale,2005-2006,3
Chimie des denrées alimentaires,2007-2008,3
High performance computing methods,2006-2007,3
Selected topics in nuclear and particle physics,2013-2014,3
Lessons learned from the space exploration,2016-2017,3
Chemical dynamics,2007-2008,3
Lasers and applications in chemistry,2009-2010,3
Lasers and applications in chemistry,2010-2011,3
Scientific literature analysis in molecular medicine,2014-2015,3
Scientific project design in integrative neurosciences,2015-2016,3
Localisation par satellites,2008-2009,3
Cellular signalling,2006-2007,3
Selected topics in nuclear and particle physics,2009-2010,3
Sensor orientation,2014-2015,3
Théorie et critique du projet MA2 (Huang),2016-2017,3
Semiconductor devices II,2018-2019,3
Seminar in physiology and instrumentation,2017-2018,3
Lie groups,2017-2018,3
Lie groups,2019-2020,3
Chemical engineering of heterogenous reaction,2007-2008,3
Semiconductor electronic and optoelectronic devices I,2009-2010,3
Semiconductor electronic and optoelectronic devices I,2013-2014,3
Chapitres choisis de mathématiques I,2004-2005,3
Chapitres choisis de mathématiques II,2004-2005,3
Lasers and applications in chemistry,2013-2014,3
Selected Chapters in Medical Technology,2007-2008,3
Scientific project design in drug discovery,2015-2016,3
Scientific project design in translational neurosciences,2017-2018,3
Selected topics in biotechnology,2017-2018,3
Théorie et critique du projet MA1 (Lamunière),2014-2015,3
Logique mathématique II,2008-2009,3
Security and Cooperation in Wireless Networks,2007-2008,3
Securitization & the financial crisis,2015-2016,3
Scientific literature analysis in bioengineering,2015-2016,3
Chemical engineering & biotechnology lab & project,2007-2008,3
Lattice models,2019-2020,3
Set theory,2018-2019,3
Higher Algebraic K-theory,2011-2012,2
Algebraic K-theory,2014-2015,2
Algebraic K-theory,2019-2020,2
Selected Chapters in Biotechnology,2006-2007,2
Algebraic number theory,2010-2011,2
Immunology (advanced topics),2012-2013,2
Histoire de l'architecture,2004-2005,2
Packing and covering,2012-2013,2
Advanced topics in nuclear reactor materials,2018-2019,2
Cancer biology II,2016-2017,2
Particle detection,2013-2014,2
Algorithms in public-key cryptology,2012-2013,2
Cancer biology II,2010-2011,2
Diffraction methods in structural biology,2014-2015,2
Cancer biology II,2009-2010,2
Optique intégrée,2009-2010,2
Cancer biology II,2006-2007,2
Stem cell biology and technology,2007-2008,2
Mathematical principles of signal processing (2014),2004-2005,2
Advanced topics in financial econometrics,2009-2010,2
Particle detection,2015-2016,2
P-adic numbers and applications,2019-2020,2
Algebraic K-theory,2012-2013,2
Part 3 : Summer School II : China / India / Middle East ,2013-2014,2
Algebra for digital communications,2007-2008,2
UE X : Experience design,2017-2018,2
UE R : Introduction au BIM (Building Information Modeling),2016-2017,2
Safety of nuclear power plants,2017-2018,2
Mass spectrometry,2010-2011,2
Part 2 : Summer School I : Lausanne,2013-2014,2
IGEM project in synthetic biology I,2011-2012,2
Technologie chimique et biologique de l'environnement,2006-2007,2
UE X : Experience design,2018-2019,2
Localisation par satellites,2009-2010,2
Part 1 : Introduction to Area and Cultural Studies,2013-2014,2
Technologie chimique et biologique de l'environnement,2009-2010,2
Histology,2011-2012,2
Histoire de la technique II,2004-2005,2
Infection biology,2015-2016,2
IGEM project in synthetic biology II,2011-2012,2
Histoire de la technique I,2004-2005,2
Dynamique moléculaire et simulation Monte-Carlo,2016-2017,2
Rôles des catégories,2004-2005,2
Partial differential equations,2010-2011,2
Problem solving in computer sciences,2008-2009,2
Uncertainty quantification for engineering & life sciences,2015-2016,2
Process development project,2006-2007,2
Linear system theory (2009),2007-2008,2
Microeconomics,2017-2018,2
Cancer biology I,2006-2007,2
Optique III,2017-2018,2
Chemical biology - tools and methods,2010-2011,2
Cristallographie et méthodes de diffraction,2006-2007,2
Analysis on groups,2017-2018,2
UE E : Architecture et structures,2015-2016,2
"Projet ""business plan"" (hiver)",2005-2006,2
"Projet ""business plan"" (été)",2005-2006,2
Optical MEMS and micro-optics,2010-2011,2
Stable homotopy theory,2005-2006,2
Lumped Modelling and Simulation in Cardiovascular Physiology,2008-2009,2
Nutrition: from molecules to health,2017-2018,2
Nutrition: from molecules to health,2016-2017,2
Selected topics on security and cryptography,2005-2006,2
Projet interdisciplinaire à option A (hiver),2006-2007,2
Selected topics on security and cryptography,2006-2007,2
Annulé - Stage section des Sciences et ingénierie de l'environnement (été),2004-2005,2
Numerical methods for conservation laws,2013-2014,2
Numerical integration of dynamical systems,2010-2011,2
